source_file,index,metric,value
Terminal-Status-Report-06.08.2026.pdf,0,truck_turn_time,43.0
Terminal-Status-Report-06.08.2026.pdf,1,truck_turn_time,41.0
Terminal-Status-Report-06.08.2026.pdf,2,truck_turn_time,42.0
Terminal-Status-Report-06.08.2026.pdf,3,truck_turn_time,39.0
Terminal-Status-Report-06.08.2026.pdf,0,completed_transactions,61544.0
Terminal-Status-Report-06.08.2026.pdf,1,completed_transactions,70127.0
Terminal-Status-Report-06.08.2026.pdf,2,completed_transactions,20746.0
Terminal-Status-Report-06.08.2026.pdf,3,completed_transactions,25694.0
Terminal-Status-Report-06.08.2026.pdf,4,completed_transactions,40798.0
Terminal-Status-Report-06.08.2026.pdf,5,completed_transactions,44433.0
Terminal-Status-Report-06.08.2026.pdf,0,yard_utilization_pct,39.0
Terminal-Status-Report-06.08.2026.pdf,1,yard_utilization_pct,38.0
Terminal-Status-Report-06.08.2026.pdf,2,yard_utilization_pct,37.0
Terminal-Status-Report-06.08.2026.pdf,3,yard_utilization_pct,37.0
Terminal-Status-Report-06.08.2026.pdf,0,dwell_days,7.65
Terminal-Status-Report-06.08.2026.pdf,1,dwell_days,7.08
Terminal-Status-Report-06.08.2026.pdf,2,dwell_days,3.54
Terminal-Status-Report-06.08.2026.pdf,3,dwell_days,2.6
Terminal-Status-Report-06.08.2026.pdf,4,dwell_days,3.9
Terminal-Status-Report-06.08.2026.pdf,5,dwell_days,7.33
Terminal-Status-Report-06.08.2026.pdf,6,dwell_days,2.49
Terminal-Status-Report-06.08.2026.pdf,7,dwell_days,7.0
Terminal-Status-Report-06.08.2026.pdf,0,imports_over_14_days_pct,1.8
Terminal-Status-Report-06.08.2026.pdf,1,imports_over_14_days_pct,1.91
Terminal-Status-Report-06.22.2026.pdf,0,truck_turn_time,42.0
Terminal-Status-Report-06.22.2026.pdf,1,truck_turn_time,44.0
Terminal-Status-Report-06.22.2026.pdf,2,truck_turn_time,35.0
Terminal-Status-Report-06.22.2026.pdf,3,truck_turn_time,34.0
Terminal-Status-Report-06.22.2026.pdf,0,completed_transactions,67945.0
Terminal-Status-Report-06.22.2026.pdf,1,completed_transactions,60100.0
Terminal-Status-Report-06.22.2026.pdf,2,completed_transactions,23839.0
Terminal-Status-Report-06.22.2026.pdf,3,completed_transactions,23007.0
Terminal-Status-Report-06.22.2026.pdf,4,completed_transactions,44106.0
Terminal-Status-Report-06.22.2026.pdf,5,completed_transactions,37093.0
Terminal-Status-Report-06.22.2026.pdf,0,yard_utilization_pct,37.0
Terminal-Status-Report-06.22.2026.pdf,1,yard_utilization_pct,44.0
Terminal-Status-Report-06.22.2026.pdf,2,yard_utilization_pct,36.0
Terminal-Status-Report-06.22.2026.pdf,3,yard_utilization_pct,43.0
Terminal-Status-Report-06.22.2026.pdf,0,dwell_days,6.96
Terminal-Status-Report-06.22.2026.pdf,1,dwell_days,8.13
Terminal-Status-Report-06.22.2026.pdf,2,dwell_days,2.53
Terminal-Status-Report-06.22.2026.pdf,3,dwell_days,2.17
Terminal-Status-Report-06.22.2026.pdf,4,dwell_days,6.63
Terminal-Status-Report-06.22.2026.pdf,5,dwell_days,2.76
Terminal-Status-Report-06.22.2026.pdf,6,dwell_days,7.15
Terminal-Status-Report-06.22.2026.pdf,7,dwell_days,2.74
Terminal-Status-Report-06.22.2026.pdf,0,imports_over_14_days_pct,2.47
Terminal-Status-Report-06.22.2026.pdf,1,imports_over_14_days_pct,2.53
