replay,scenario,metric,archived,replayed,difference
archival_snapshot,sc_low_workload,source_gate_missions,5961.0,5961.0,0.0
archival_snapshot,sc_low_workload,demand_multiplier,0.989213408562894,0.989213408562894,0.0
archival_snapshot,sc_low_workload,mean_requests,22.751908396946565,22.751908396946565,0.0
archival_snapshot,sc_low_workload,missed_reservation_rate_from_virginia,0.04,0.04,0.0
archival_snapshot,sc_low_workload,yard_utilization_from_houston,0.38875,0.38875,0.0
archival_snapshot,sc_low_workload,capacity_disruption_probability,0.0611,0.0611,0.0
archival_snapshot,sc_median_workload,source_gate_missions,6026.0,6026.0,0.0
archival_snapshot,sc_median_workload,demand_multiplier,1.0,1.0,0.0
archival_snapshot,sc_median_workload,mean_requests,23.0,23.0,0.0
archival_snapshot,sc_median_workload,missed_reservation_rate_from_virginia,0.04,0.04,0.0
archival_snapshot,sc_median_workload,yard_utilization_from_houston,0.38875,0.38875,0.0
archival_snapshot,sc_median_workload,capacity_disruption_probability,0.0611,0.0611,0.0
archival_snapshot,sc_high_workload,source_gate_missions,6401.0,6401.0,0.0
archival_snapshot,sc_high_workload,demand_multiplier,1.0622303352140725,1.0622303352140725,0.0
archival_snapshot,sc_high_workload,mean_requests,24.431297709923665,24.431297709923665,0.0
archival_snapshot,sc_high_workload,missed_reservation_rate_from_virginia,0.04,0.04,0.0
archival_snapshot,sc_high_workload,yard_utilization_from_houston,0.38875,0.38875,0.0
archival_snapshot,sc_high_workload,capacity_disruption_probability,0.0611,0.0611,0.0
archival_snapshot,sc_peak_workload,source_gate_missions,6444.0,6444.0,0.0
archival_snapshot,sc_peak_workload,demand_multiplier,1.0693660803186191,1.0693660803186191,0.0
archival_snapshot,sc_peak_workload,mean_requests,24.595419847328245,24.595419847328245,0.0
archival_snapshot,sc_peak_workload,missed_reservation_rate_from_virginia,0.04,0.04,0.0
archival_snapshot,sc_peak_workload,yard_utilization_from_houston,0.38875,0.38875,0.0
archival_snapshot,sc_peak_workload,capacity_disruption_probability,0.0611,0.0611,0.0
fresh_download,sc_low_workload,source_gate_missions,5961.0,5983.0,22.0
fresh_download,sc_low_workload,demand_multiplier,0.989213408562894,0.944584780549416,-0.044628628013478
fresh_download,sc_low_workload,mean_requests,22.751908396946565,21.725449952636566,-1.0264584443099984
fresh_download,sc_low_workload,missed_reservation_rate_from_virginia,0.04,0.04,0.0
fresh_download,sc_low_workload,yard_utilization_from_houston,0.38875,0.3733333333333333,-0.01541666666666669
fresh_download,sc_low_workload,capacity_disruption_probability,0.0611,0.0598666666666666,-0.0012333333333333987
fresh_download,sc_median_workload,source_gate_missions,6026.0,6064.0,38.0
fresh_download,sc_median_workload,demand_multiplier,1.0,0.9573729081149353,-0.04262709188506475
fresh_download,sc_median_workload,mean_requests,23.0,22.01957688664351,-0.9804231133564905
fresh_download,sc_median_workload,missed_reservation_rate_from_virginia,0.04,0.04,0.0
fresh_download,sc_median_workload,yard_utilization_from_houston,0.38875,0.3733333333333333,-0.01541666666666669
fresh_download,sc_median_workload,capacity_disruption_probability,0.0611,0.0598666666666666,-0.0012333333333333987
fresh_download,sc_high_workload,source_gate_missions,6401.0,6631.0,230.0
fresh_download,sc_high_workload,demand_multiplier,1.0622303352140725,1.0468898010735712,-0.015340534140501294
fresh_download,sc_high_workload,mean_requests,24.431297709923665,24.078465424692137,-0.35283228523152843
fresh_download,sc_high_workload,missed_reservation_rate_from_virginia,0.04,0.04,0.0
fresh_download,sc_high_workload,yard_utilization_from_houston,0.38875,0.3733333333333333,-0.01541666666666669
fresh_download,sc_high_workload,capacity_disruption_probability,0.0611,0.0598666666666666,-0.0012333333333333987
fresh_download,sc_peak_workload,source_gate_missions,6444.0,6754.0,310.0
fresh_download,sc_peak_workload,demand_multiplier,1.0693660803186191,1.0663088095989897,-0.003057270719629468
fresh_download,sc_peak_workload,mean_requests,24.595419847328245,24.525102620776764,-0.07031722655148087
fresh_download,sc_peak_workload,missed_reservation_rate_from_virginia,0.04,0.04,0.0
fresh_download,sc_peak_workload,yard_utilization_from_houston,0.38875,0.3733333333333333,-0.01541666666666669
fresh_download,sc_peak_workload,capacity_disruption_probability,0.0611,0.0598666666666666,-0.0012333333333333987
