seed_block,seed,policy,weighted_cost,mean_queue,terminal_yard_backlog,late_horizon_drift
0,41000,pto_frozen,73.85555400878471,4923.542210144928,7941.125,5.5889441414676275
0,41000,pto_reid_7d,6.04468791255656,400.2175045289855,2.375,0.0003995120964066684
0,41000,pto_reid_3d,0.09146040848581789,3.4185235507246383,2.25,0.0005435529776604933
0,41000,pto_reid_1d,0.07709316419779347,2.462839673913044,2.25,0.0005435529776604933
0,41000,feedback_fast,0.22401923458879924,6.180683876811594,2.675,-0.00048018464706878065
0,41000,feedback_tracker,0.23714219703729605,7.898029891304347,4.15,0.0009187200790802043
0,41000,pto_high_fidelity,0.08273042668609873,2.9144927536231884,3.15,6.179497306845947e-05
1,41001,pto_frozen,73.21838315280645,4881.06415307971,7866.25,5.514020305535181
1,41001,pto_reid_7d,5.643292993524474,373.4617753623188,2.2,0.0002795286654889995
1,41001,pto_reid_3d,0.08545937294775982,3.0198143115942027,3.45,0.0008476463656526287
1,41001,pto_reid_1d,0.07695934209387023,2.4553442028985506,2.5,0.0008097203112860732
1,41001,feedback_fast,0.22692203123735002,6.350294384057971,2.85,-9.10797681413548e-05
1,41001,feedback_tracker,0.23885110218667674,7.878509963768115,4.025,0.000537921442801401
1,41001,pto_high_fidelity,0.08382417668609876,2.987409420289855,3.15,-0.0009434014470548919
2,41002,pto_frozen,73.53863077508906,4902.413994565218,7915.4,5.50048896560966
2,41002,pto_reid_7d,5.939048871928369,393.1758378623189,2.125,0.00013365400891496922
2,41002,pto_reid_3d,0.09393148349155286,3.582359601449275,1.925,0.0004103465618340357
2,41002,pto_reid_1d,0.07775121166527245,2.506136775362319,2.0,0.0004321484142726314
2,41002,feedback_fast,0.22920112996923417,6.484080615942029,2.775,0.0003418268416963615
2,41002,feedback_tracker,0.23911139311847265,8.121648550724638,4.05,0.0004047516482276399
2,41002,pto_high_fidelity,0.08514550820783788,3.075498188405797,2.575,-0.0004055369706465739
3,41003,pto_frozen,73.76776630498037,4917.689696557971,7925.875,5.5774510550176
3,41003,pto_reid_7d,5.887386118926483,389.7301856884058,2.525,0.0006212144475453452
3,41003,pto_reid_3d,0.10177311877018513,4.103509963768117,2.65,0.0006266059097478721
3,41003,pto_reid_1d,0.07894669417793451,2.5836277173913045,2.4,0.0004648199970485982
3,41003,feedback_fast,0.22512566574821963,6.2665987318840575,2.05,-0.00024062468804118077
3,41003,feedback_tracker,0.24101776108715933,8.246625905797101,4.95,-0.0001163931918107283
3,41003,pto_high_fidelity,0.08384387777305521,2.9887228260869563,3.375,0.0011670745641257124
4,41004,pto_frozen,74.00839096530645,4933.73134057971,7963.2,5.595263506189264
4,41004,pto_reid_7d,6.042091900312829,400.0459239130435,2.025,-0.0007986986705671468
4,41004,pto_reid_3d,0.09762385355661737,3.826177536231884,2.425,1.7340841323096063e-05
4,41004,pto_reid_1d,0.07811544618800567,2.5285326086956523,2.1,2.118742919891138e-05
4,41004,feedback_fast,0.22395005433517615,6.1719202898550725,1.875,-0.00020917517003111994
4,41004,feedback_tracker,0.2364708683760428,7.84716938405797,3.775,0.0004231409424520072
4,41004,pto_high_fidelity,0.08395970657740312,2.996444746376812,2.525,-3.658463144371282e-05
5,41005,pto_frozen,73.943658288676,4929.415828804348,7945.875,5.529823240063975
5,41005,pto_reid_7d,5.908267281129954,391.1236865942029,2.525,0.00041855107878072394
5,41005,pto_reid_3d,0.1021676249645778,4.129574275362319,1.775,0.0004332660406512182
5,41005,pto_reid_1d,0.07722577084120516,2.4708333333333337,1.775,0.0006614693423148538
5,41005,feedback_fast,0.22449743884604567,6.21911231884058,1.9,-0.0005284080551564895
5,41005,feedback_tracker,0.23411490842368865,7.399705615942028,3.125,0.00030255665172157855
5,41005,pto_high_fidelity,0.0827929266860987,2.9186594202898553,2.175,-0.00019710100738284448
6,41006,pto_frozen,74.3477775142195,4956.357110507246,7938.525,5.444312197264312
6,41006,pto_reid_7d,6.020046023601324,398.57608695652175,1.6,-0.0006402357974643987
6,41006,pto_reid_3d,0.0889227555657889,3.249411231884058,2.0,0.000342819684547242
6,41006,pto_reid_1d,0.0771048269680145,2.463609601449275,2.525,0.00034700400175347983
6,41006,feedback_fast,0.2284579800598138,6.442255434782609,3.1,6.937150334853883e-05
6,41006,feedback_tracker,0.2385101562359439,8.034918478260868,5.925,0.001080036697207887
6,41006,pto_high_fidelity,0.08411120114262051,3.006544384057971,3.0,-0.0005052742741938983
7,41007,pto_frozen,73.71109884574123,4913.911865942029,7923.6,5.461347095147983
7,41007,pto_reid_7d,5.917804584325711,391.76055253623184,1.775,-0.0010525246420340366
7,41007,pto_reid_3d,0.0883162420356205,3.208740942028985,1.775,-0.0005857189592836775
7,41007,pto_reid_1d,0.07701455642930422,2.4575634057971016,2.025,-0.0005671519841665979
7,41007,feedback_fast,0.2292282472699588,6.49356884057971,2.775,0.00037585747985017295
7,41007,feedback_tracker,0.23580355430481373,7.898596014492753,5.125,0.0011948226229280508
7,41007,pto_high_fidelity,0.08339788592522915,2.958990036231884,2.3,0.0007568758436451547
8,41008,pto_frozen,74.77784748704558,4985.028442028985,7989.3,5.557375799699652
8,41008,pto_reid_7d,6.02227017275085,398.7246150362319,1.475,-0.00038936258403899325
8,41008,pto_reid_3d,0.09475560360047335,3.6378849637681157,2.125,-9.805543860867451e-05
8,41008,pto_reid_1d,0.07693624960923115,2.452377717391305,1.825,-9.629897482193933e-05
8,41008,feedback_fast,0.224998740929379,6.248890398550725,2.75,0.0003430380557207279
8,41008,feedback_tracker,0.23540682244858752,7.65865036231884,4.7,0.0007149974066727719
8,41008,pto_high_fidelity,0.08363056255566396,2.974501811594203,2.95,-3.6977970824526125e-05
9,41009,pto_frozen,73.66948233758907,4911.137432065218,7902.575,5.491687816570384
9,41009,pto_reid_7d,5.780784722784476,382.6275815217391,1.825,-8.391420969709068e-05
9,41009,pto_reid_3d,0.09318726834984156,3.5316349637681155,2.975,-7.302006519125517e-05
9,41009,pto_reid_1d,0.0780858320766877,2.5281929347826084,2.35,-7.806701634989734e-05
9,41009,feedback_fast,0.22486790986053856,6.232676630434783,1.725,-0.0003857384363647411
9,41009,feedback_tracker,0.2359289522426776,7.8524456521739125,3.825,-8.947792742155997e-05
9,41009,pto_high_fidelity,0.0842745842947944,3.0174365942028984,4.55,9.44502797321169e-05
