scenario,design,value,weighted_cost,mean_queue,terminal_yard_backlog,late_horizon_drift
high,gain_multiplier,0.5,0.22520326565484702,6.497903079710145,3.3325,4.8537537055282387e-05
high,gain_multiplier,0.75,0.22616038182332537,6.429821105072464,2.815,-5.997069214710125e-06
high,gain_multiplier,1.0,0.22397605211318036,6.215996376811595,3.08,9.523112622016588e-05
high,gain_multiplier,1.25,0.2249336268414413,6.129540307971014,2.6675,0.00013532502311207944
high,gain_multiplier,1.5,0.22505365627984708,6.077597373188405,2.735,3.682199141489329e-06
high,lateness_support,1.0,0.22414176769289057,6.229134963768116,3.1075,0.00015625596790784684
high,lateness_support,2.0,0.22397605211318036,6.215996376811595,3.08,9.523112622016588e-05
high,lateness_support,4.0,0.22498019047368764,6.283729619565218,2.585,-6.200778323690641e-05
peak,gain_multiplier,0.5,0.22578140057611817,6.497903079710145,3.3325,4.8537537055282387e-05
peak,gain_multiplier,0.75,0.2267385167445964,6.429821105072464,2.815,-5.997069214710125e-06
peak,gain_multiplier,1.0,0.22455418703445149,6.215996376811595,3.08,9.523112622016588e-05
peak,gain_multiplier,1.25,0.22551176176271234,6.129540307971014,2.6675,0.00013532502311207944
peak,gain_multiplier,1.5,0.22563179120111815,6.077597373188405,2.735,3.682199141489329e-06
peak,lateness_support,1.0,0.22471990261416164,6.229134963768116,3.1075,0.00015625596790784684
peak,lateness_support,2.0,0.22455418703445149,6.215996376811595,3.08,9.523112622016588e-05
peak,lateness_support,4.0,0.22555832539495874,6.283729619565218,2.585,-6.200778323690641e-05
