scenario,policy,acceptance_rate_old,mean_composite_cost_old,mean_total_wait_old,p95_total_wait_old,throughput_rate_old,acceptance_rate_new,mean_composite_cost_new,mean_total_wait_new,p95_total_wait_new,throughput_rate_new,acceptance_rate_diff,mean_composite_cost_diff,mean_total_wait_diff,p95_total_wait_diff,throughput_rate_diff
sc_high_workload,fixed,0.9169150294800394,3.2608556462585785,271.72505260746243,408.7859711600636,0.9004780372146323,0.9169150294800394,3.2608556462585785,271.72505260746243,408.7859711600636,0.9004780372146323,0.0,0.0,0.0,0.0,0.0
sc_high_workload,online_joint,0.8808566112273236,0.4407021623432803,18.597733941915266,47.56294514380755,0.8658278354000574,0.8808566112273236,0.44070216234328036,18.597733941915262,47.56294514380755,0.8658278354000574,0.0,5.551115123125783e-17,-3.552713678800501e-15,0.0,0.0
sc_high_workload,pto,0.8269743735466778,0.3030817965536204,4.659333837994762,12.553974143745956,0.8141368239023447,0.8269743735466778,0.3030817965536204,4.659333837994762,12.553974143745956,0.8141368239023447,0.0,0.0,0.0,0.0,0.0
sc_low_workload,fixed,0.942955293872394,0.4637152743312317,23.78022891363314,60.05932671851437,0.9270497176973032,0.9429552938723941,0.4637152743312317,23.78022891363314,60.05932671851437,0.9270497176973032,1.1102230246251565e-16,0.0,0.0,0.0,0.0
sc_low_workload,online_joint,0.9173336102650284,0.3274978816269286,11.466479903745132,28.33143137890115,0.9024861192971686,0.9173336102650284,0.32749788162692867,11.466479903745132,28.33143137890115,0.9024861192971686,0.0,5.551115123125783e-17,0.0,0.0,0.0
sc_low_workload,pto,0.8308201171827686,0.2768481864709281,2.933384070943625,8.7134068563244,0.8194262381719766,0.8308201171827686,0.2768481864709281,2.933384070943625,8.7134068563244,0.8194262381719766,0.0,0.0,0.0,0.0,0.0
sc_median_workload,fixed,0.9398708369633788,0.5069212686219118,27.047326210269024,67.11741758810221,0.924051543532192,0.9398708369633789,0.5069212686219118,27.047326210269024,67.11741758810221,0.9240515435321919,1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16
sc_median_workload,online_joint,0.9147489884573328,0.338378015401002,12.32712468234483,29.65152758567623,0.8999276004353552,0.9147489884573327,0.33837801540100204,12.32712468234483,29.65152758567623,0.8999276004353552,-1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.0
sc_median_workload,pto,0.828745625268418,0.2793338163327885,3.047517754954127,8.98041824058156,0.8173435763277003,0.828745625268418,0.27933381633278853,3.047517754954127,8.98041824058156,0.8173435763277003,0.0,5.551115123125783e-17,0.0,0.0,0.0
sc_peak_workload,fixed,0.9144924360174024,4.4411571944060855,379.7238346225069,576.2740512545558,0.8982241307282949,0.9144924360174025,4.4411571944060855,379.72383462250684,576.2740512545558,0.8982241307282949,1.1102230246251565e-16,0.0,-5.684341886080802e-14,0.0,0.0
sc_peak_workload,online_joint,0.8779709471809797,0.4707036083173774,20.947935318967637,54.19720776729144,0.8631397367808961,0.8779709471809797,0.47070360831737745,20.947935318967634,54.19720776729144,0.8631397367808961,0.0,5.551115123125783e-17,-3.552713678800501e-15,0.0,0.0
sc_peak_workload,pto,0.8295389761467972,0.3238384013859644,6.046173245081128,17.44927621389024,0.8166687050250154,0.8295389761467972,0.3238384013859644,6.046173245081128,17.44927621389024,0.8166687050250154,0.0,0.0,0.0,0.0,0.0
