scenario,metric,baseline,target,baseline_mean,target_mean,baseline_minus_target,ci_low,ci_high,relative_improvement_pct,supports_target,weight_set
sc_high_workload,mean_composite_cost,pto,online_joint,0.3099528398221586,0.46786308599456666,-0.15791024617240806,-0.19354228458171643,-0.12512063137297103,-50.94653956486158,False,W0_current
sc_high_workload,throughput_rate,pto,online_joint,0.8141456693257033,0.8710885060691522,-0.056942836743449084,-0.06456882639190692,-0.0492127402776894,-6.994182845756661,False,W0_current
sc_high_workload,acceptance_rate,pto,online_joint,0.8266876339698124,0.8858026826413309,-0.05911504867151854,-0.06704951234955309,-0.05104167551119742,-7.15083258081942,False,W0_current
sc_peak_workload,mean_composite_cost,pto,online_joint,0.31759289332284607,0.4955490413025325,-0.17795614797968642,-0.24303140820852595,-0.12031699665523175,-56.032786539334424,False,W0_current
sc_peak_workload,throughput_rate,pto,online_joint,0.8150766577414373,0.8665509890869586,-0.05147433134552112,-0.06413240031789608,-0.037534590354621755,-6.315274870974168,False,W0_current
sc_peak_workload,acceptance_rate,pto,online_joint,0.8277940682705488,0.8814475542685106,-0.05365348599796189,-0.06673571138026724,-0.03912553440425649,-6.4815016263714345,False,W0_current
sc_high_workload,mean_composite_cost,pto,online_joint,0.3630773617333352,0.6079197832013804,-0.24484242146804513,-0.2942318843760443,-0.18863610291019867,-67.43533121954087,False,W1_medium_unserved
sc_high_workload,throughput_rate,pto,online_joint,0.8141456693257033,0.87630743842549,-0.06216176909978669,-0.07149819985586811,-0.05001590148161589,-7.635214611074538,False,W1_medium_unserved
sc_high_workload,acceptance_rate,pto,online_joint,0.8266876339698124,0.8912229720970765,-0.06453533812726413,-0.07418296547890968,-0.05187560273233006,-7.806496126881791,False,W1_medium_unserved
sc_peak_workload,mean_composite_cost,pto,online_joint,0.3680059224174211,0.6121975573150504,-0.24419163489762932,-0.3093588782083881,-0.17885500328955478,-66.35535463493115,False,W1_medium_unserved
sc_peak_workload,throughput_rate,pto,online_joint,0.8150766577414373,0.8711765255360185,-0.05609986779458098,-0.06883762040047646,-0.03974246859308464,-6.882771977550271,False,W1_medium_unserved
sc_peak_workload,acceptance_rate,pto,online_joint,0.8277940682705488,0.8862295565313016,-0.05843548826075288,-0.0716845296120056,-0.0413245815703918,-7.059181806271937,False,W1_medium_unserved
sc_high_workload,mean_composite_cost,pto,online_joint,0.416201883644512,0.6198476179587247,-0.20364573431421265,-0.24739670626425053,-0.15472476353697567,-48.92955614015225,False,W2_high_unserved
sc_high_workload,throughput_rate,pto,online_joint,0.8141456693257033,0.8713010989002482,-0.05715542957454509,-0.06949830420858163,-0.04222009166887707,-7.020295228233875,False,W2_high_unserved
sc_high_workload,acceptance_rate,pto,online_joint,0.8266876339698124,0.8860655242589677,-0.05937789028915542,-0.07215863977663094,-0.04383538554929073,-7.182627131365035,False,W2_high_unserved
sc_peak_workload,mean_composite_cost,pto,online_joint,0.4184189515119962,0.6882958475985892,-0.269876896086593,-0.31391035088094643,-0.2197976898786255,-64.49920471129892,False,W2_high_unserved
sc_peak_workload,throughput_rate,pto,online_joint,0.8150766577414373,0.873719077454142,-0.05864241971270448,-0.06998339074283082,-0.04269085971823364,-7.1947121974025805,False,W2_high_unserved
sc_peak_workload,acceptance_rate,pto,online_joint,0.8277940682705488,0.8888881289363986,-0.0610940606658498,-0.07285933089837672,-0.04447515141814915,-7.380345306591683,False,W2_high_unserved
