scenario,policy,p95_total_wait,mean_total_wait,unstable,queue_tail_slope,terminal_system,uncompleted_at_drain_limit,drain_truncated,drain_minutes,first_queue_threshold_period,tail_net_queue_drift,unstable_stress_regime
sc_high_workload,fixed,426.994599457086,268.3873201613801,0.72,0.16323025231550484,0.0,0.0,0.0,410.84,342.9,0.11027272727272727,True
sc_high_workload,online_fast_only,41.50977488690149,13.4924159304394,0.34,-0.00037240401285531524,0.0,0.0,0.0,27.26,594.68,-0.03318181818181818,True
sc_high_workload,online_joint,52.096166745295434,20.394869508275903,0.4,0.000584924557043729,0.0,0.0,0.0,32.86,529.58,-0.04372727272727273,True
sc_high_workload,pto,13.909070736925663,4.791091756623959,0.0,-0.0018750391161350265,0.0,0.0,0.0,25.7,39.44,-0.006181818181818181,False
sc_high_workload,pto_adaptive_fast,15.260016514884942,5.290161547602147,0.02,-0.0026779242245801695,0.0,0.0,0.0,25.88,39.44,-0.009818181818181818,True
sc_high_workload,pto_adaptive_slow,14.899496404492734,5.024558764315157,0.02,-0.0021641337443110416,0.0,0.0,0.0,25.82,39.44,-0.008090909090909091,True
sc_peak_workload,fixed,553.086101669739,355.5793759884738,0.92,0.31606416849333674,0.0,0.0,0.0,571.04,337.62,0.25727272727272726,True
sc_peak_workload,online_fast_only,42.70386217177381,14.078768149989084,0.24,-0.009872960560793023,0.0,0.0,0.0,27.22,533.38,-0.03481818181818182,True
sc_peak_workload,online_joint,53.90430202334032,22.48433151052128,0.3,-0.009598339184318341,0.0,0.0,0.0,33.3,504.56,-0.050727272727272725,True
sc_peak_workload,pto,18.559562116474137,6.097136144861769,0.0,-0.0007666168910327058,0.0,0.0,0.0,24.76,100.48,-0.010636363636363637,False
sc_peak_workload,pto_adaptive_fast,19.259705427999545,6.1518989303060785,0.0,-0.002808885608079831,0.0,0.0,0.0,24.94,89.8,-0.011363636363636362,False
sc_peak_workload,pto_adaptive_slow,18.320245461343553,5.951844199839563,0.0,-0.0015716406612458407,0.0,0.0,0.0,25.1,87.0,-0.007181818181818182,False
